OTU,ID
ASV0203,780650
ASV0272,780650
ASV0906,780650
ASV2030,360315
ASV2414,2685349
ASV3742,97792
ASV2462,807046
ASV1001,79436
ASV0562,937813
ASV3390,1105305
ASV3384,364034
ASV0693,696563
ASV1639,696563
ASV1854,580121
ASV0894,370183
ASV1286,592139
ASV1491,592139
ASV1535,359720
ASV1206,563086
ASV2056,761408
ASV0191,764046
ASV0977,764046
ASV2345,336761
ASV3240,582691
ASV3233,343709
ASV3014,771824
ASV3565,373928
ASV3864,1105687
ASV4062,144431
ASV1011,164216
ASV1537,164216
ASV4285,335955
ASV2095,579293
ASV3842,579293
ASV2644,1602314
ASV1154,804526
ASV2374,4424807
ASV2393,316892
ASV1160,584263
ASV2377,584263
ASV4935,584263
ASV2361,318760
ASV1445,587175
ASV0650,369429
ASV3076,592287
ASV1866,3869719
ASV2999,461487
ASV1207,269609
ASV0332,531374
ASV4029,569550
ASV0799,550996
ASV0460,363358
ASV0956,363358
ASV1531,363358
ASV3286,1112762
ASV3089,495001
ASV0832,363646
ASV1293,396266
ASV2405,347369
ASV1067,708680
ASV2373,331227
ASV1917,369182
ASV1770,909401
ASV1524,503315
ASV2090,4432435
ASV1683,238697
ASV2716,238813
ASV1638,570238
ASV1317,563439
ASV2099,525371
ASV0012,4123679
ASV2799,92430
ASV2257,4329788
ASV3585,4375017
ASV1572,1110312
ASV2690,564941
ASV0952,582379
ASV2687,522927
ASV3101,522927
ASV4739,749837
ASV2023,749837
ASV2585,694172
ASV1792,621968
ASV1987,514272
ASV0507,590450
ASV2203,362450
ASV1408,362450
ASV0224,318462
ASV0398,318462
ASV2148,657266
ASV2370,4440164
ASV0482,355307
ASV1724,515299
ASV3241,593692
ASV3255,1008689
ASV1632,302553
ASV2107,826624
ASV3285,579462
ASV2973,851704
ASV2798,851704
ASV2304,158576
ASV4075,98253
ASV2698,831922
ASV2836,831922
ASV1460,701221
ASV0846,323818
ASV3121,1047886
ASV0600,307462
ASV1780,564267
ASV0451,4319494
ASV1335,4319494
ASV5038,4319494
ASV0034,4319494
ASV0103,4319494
ASV4824,296858
ASV3918,528441
ASV0856,352304
ASV2982,586517
ASV3226,353292
ASV3114,353292
ASV2592,1141681
ASV3295,528782
ASV1434,620319
ASV1321,620319
ASV2835,585998
ASV1508,4403095
ASV2308,2368865
ASV3064,233993
ASV2225,546876
ASV3859,155932
ASV2488,532521
ASV2869,556073
ASV1873,1029949
ASV1840,331392
ASV3310,1040889
ASV3217,346299
ASV0085,555945
ASV2355,759751
ASV1190,759751
ASV3248,313037
ASV1918,315391
ASV1004,470382
ASV0934,470382
ASV4214,856920
ASV4201,851865
ASV0787,851865
ASV0524,851865
ASV0587,851865
ASV2297,851865
ASV2853,316008
ASV1910,695200
ASV2127,359581
ASV2222,4345624
ASV1396,526490
ASV0559,988932
ASV1722,344155
ASV3722,195222
ASV0079,823251
ASV1144,350224
ASV0449,157142
ASV2356,318396
ASV4204,820843
ASV3890,353322
ASV1798,541354
ASV3250,309441
ASV1405,205859
ASV2002,292105
ASV0407,214450
ASV2041,1078587
ASV0752,1078587
ASV0552,1078587
ASV0250,4468959
ASV0009,4468959
ASV1574,368698
ASV3591,351960
ASV1506,363017
ASV3111,592649
ASV3965,293191
ASV0639,516977
ASV0303,516977
ASV0196,516977
ASV0453,516977
ASV0397,516977
ASV1284,516977
ASV2102,526323
ASV3261,4477796
ASV0290,362767
ASV2126,577562
ASV0296,365621
ASV0241,365621
ASV0721,365621
ASV2197,365621
ASV3135,1089636
ASV2375,369027
ASV2120,309720
ASV2401,4452842
ASV2635,4452842
ASV1401,1106362
ASV1106,2398623
ASV1974,612406
ASV1590,540546
ASV4301,640999
ASV4894,640999
ASV3733,342375
ASV2494,4311041
ASV0467,523140
ASV0264,975306
ASV1443,975306
ASV4256,215509
ASV0938,352192
ASV0595,643362
ASV3231,522961
ASV1772,574742
ASV2282,352497
ASV2831,107450
ASV1836,810759
ASV2208,348642
ASV1627,4480176
ASV2397,555445
ASV2379,1111776
ASV1108,198783
ASV1611,831409
ASV2138,211191
ASV2642,265162
ASV2360,823634
ASV3122,300285
ASV1174,583089
ASV2324,4447932
ASV0862,342268
ASV3117,208790
ASV3275,172296
ASV0622,531928
